variable,demand_site,wba_group,delivery_group,groundwater,include,Demand,Supply_Source,project,branch,start,end,sign
transmission_link_from_withdrawal_node_14_to_swp_sba_add_h_and_s,swp_sba_add_h_and_s,swp_table_a_total,swp_table_a_total,FALSE,TRUE,SWP SBA Add H and S,Withdrawal Node 14,swp,Supply and Resources\Transmission Links\to SWP SBA Add H and S\from Withdrawal Node 14: Flow,January,December,1
transmission_link_from_swp_sba_makeupwater_withdrawal_to_swp_sba_makeupwater,swp_sba_makeupwater,swp_table_a_total,swp_table_a_total,FALSE,TRUE,SWP SBA MakeUpWater,SWP SBA MakeUpWater Withdrawal,swp,Supply and Resources\Transmission Links\to SWP SBA MakeUpWater\from SWP SBA MakeUpWater Withdrawal: Flow,January,December,1
transmission_link_from_sba_to_swp_sba_table_a,swp_sba_table_a,swp_table_a_total,swp_table_a_total,FALSE,TRUE,SWP SBA Table A,SBA,swp,Supply and Resources\Transmission Links\to SWP SBA Table A\from SBA: Flow,January,December,1
transmission_link_from_withdrawal_to_south_coast_demand_to_swp_south_coast_makeu,swp_south_coast_makeupwater,swp_table_a_total,swp_table_a_total,FALSE,TRUE,SWP South Coast MakeUpWater,Withdrawal to South Coast Demand,swp,Supply and Resources\Transmission Links\to SWP South Coast MakeUpWater\from Withdrawal to South Coast Demand: Flow,January,December,1
transmission_link_from_withdrawal_to_south_coast_demand_to_swp_south_coast_table,swp_south_coast_table_a,swp_table_a_total,swp_table_a_total,FALSE,TRUE,SWP South Coast Table A,Withdrawal to South Coast Demand,swp,Supply and Resources\Transmission Links\to SWP South Coast Table A\from Withdrawal to South Coast Demand: Flow,January,December,1
transmission_link_from_power_canal_swp_water_to_u_12_13_nu1,u_12_13_nu1,swp_table_a_total,swp_table_a_total,FALSE,TRUE,U_12_13_NU1,Power Canal SWP water,swp,Supply and Resources\Transmission Links\to U_12_13_NU1\from Power Canal SWP water: Flow,January,December,1
transmission_link_from_feather_river_rm_031_to_u_16_pu,u_16_pu,swp_table_a_total,swp_table_a_total,FALSE,TRUE,U_16_PU,Feather River RM 031,swp,Supply and Resources\Transmission Links\to U_16_PU\from Feather River RM 031: Flow,January,December,1
transmission_link_from_north_bay_aqueduct_cm_011a_to_u_20_25_pu,u_20_25_pu,swp_table_a_total,swp_table_a_total,FALSE,TRUE,U_20_25_PU,North Bay Aqueduct CM 011a,swp,Supply and Resources\Transmission Links\to U_20_25_PU\from North Bay Aqueduct CM 011a: Flow,January,December,1
transmission_link_from_north_bay_aqueduct_cm_021a_to_u_bncia_pu,u_bncia_pu,swp_table_a_total,swp_table_a_total,FALSE,TRUE,U_BNCIA_PU,North Bay Aqueduct CM 021a,swp,Supply and Resources\Transmission Links\to U_BNCIA_PU\from North Bay Aqueduct CM 021a: Flow,January,December,1
transmission_link_from_north_bay_aqueduct_cm_011a_to_u_frfld_pu,u_frfld_pu,swp_table_a_total,swp_table_a_total,FALSE,TRUE,U_FRFLD_PU,North Bay Aqueduct CM 011a,swp,Supply and Resources\Transmission Links\to U_FRFLD_PU\from North Bay Aqueduct CM 011a: Flow,January,December,1
transmission_link_from_north_bay_aqueduct_cm_027a_to_u_napa_pu,u_napa_pu,swp_table_a_total,swp_table_a_total,FALSE,TRUE,U_NAPA_PU,North Bay Aqueduct CM 027a,swp,Supply and Resources\Transmission Links\to U_NAPA_PU\from North Bay Aqueduct CM 027a: Flow,January,December,1
transmission_link_from_north_bay_aqueduct_cm_009_to_u_trafb_pu,u_trafb_pu,swp_table_a_total,swp_table_a_total,FALSE,TRUE,U_TRAFB_PU,North Bay Aqueduct CM 009,swp,Supply and Resources\Transmission Links\to U_TRAFB_PU\from North Bay Aqueduct CM 009: Flow,January,December,1
transmission_link_from_north_bay_aqueduct_cm_021a_to_u_vlljo_pu,u_vlljo_pu,swp_table_a_total,swp_table_a_total,FALSE,TRUE,U_VLLJO_PU,North Bay Aqueduct CM 021a,swp,Supply and Resources\Transmission Links\to U_VLLJO_PU\from North Bay Aqueduct CM 021a: Flow,January,December,1
